,categoryname,BrandName,BrandID,Total Response,% of Suggession VS total replies,FLR TAT of tickets where Response are suggested ,% of How many suggession are form KB,Accuracy (% Exact Response) ,Accuracy (% with minor change) ,Accuracy (% with same meaning) ,Accuracy (% not used)
99,TataDigitalDb,TATADigital,6954,272,26.05,8395.0,0.5845588235294118,6.25,15.07,28.68,50.00
42,JungleegamesDB,Jungleegames,6312,35,23.49,4251.0,0.5428571428571428,11.43,0.00,11.43,77.14
1,AdaniOneDB,AdaniOne,10924,15,34.09,16210.0,1.0,33.33,46.67,13.33,6.67
60,MedlifeDB,pharmeasy1,6718,9,9.68,4044.0,0.0,0.00,22.22,11.11,66.67
81,reliancejiodb,dialogchatbot,8049,0,0.00,,,,,,
80,reliancejiodb,tataneuuat,8589,0,0.00,,,,,,
79,reliancejiodb,MSDynamicsCrm,9564,0,0.00,,,,,,
78,reliancejiodb,testjunglee,6850,0,0.00,,,,,,
77,reliancejiodb,TiktokQA,11018,0,0.00,,,,,,
76,reliancejiodb,AutoDemo,8933,0,0.00,,,,,,
75,reliancejiodb,Brand2023,10307,0,0.00,,,,,,
74,reliancejiodb,reliancejiochat,534,0,0.00,,,,,,
73,reliancejiodb,ajio,600,0,0.00,,,,,,
72,reliancejiodb,IndianRailways,10132,0,0.00,,,,,,
71,reliancejiodb,AnimalWelfare,9899,0,0.00,,,,,,
69,reliancejiodb,actuat,4817,0,0.00,,,,,,
70,reliancejiodb,QAJulyTest,10543,0,0.00,,,,,,
83,reliancejiodb,reliancejio,533,0,0.00,,,,,,
68,reliancejiodb,QASeptBrand,10846,0,0.00,,,,,,
67,reliancejiodb,AlertTesting,8891,0,0.00,,,,,,
66,RallisDB,Rallis,9607,0,0.00,,,,,,
65,QuessDB,Quess,10150,0,0.00,,,,,,
64,PlayerzpotDB,Playerzpot,5830,0,0.00,,,,,,
63,PhysicswallahDB,Physicswallah,10562,0,0.00,,,,,,
62,ParkwayPantaiDb,srikotaspecialistmedicalcenter,7121,0,0.00,,,,,,
61,NationalAnimalWelfareDB,NationalAnimalWelfare,9913,0,0.00,,,,,,
59,MarketingDB,Marketing,4540,0,0.00,,,,,,
58,luxurycars,luxaudi,498,0,0.00,,,,,,
82,reliancejiodb,VOIPTest,8611,0,0.00,,,,,,
0,AcerDB,Acer,10531,0,0.00,,,,,,
57,LocobuzzSupportDB,ORMXCares,9998,0,0.00,,,,,,
98,TataDigitalDb,crmtest,7514,0,0.00,,,,,,
110,VIPIndustriesDB,skybags,9459,0,0.00,,,,,,
109,VIPIndustriesDB,VIPIndustries,9404,0,0.00,,,,,,
108,VastuHFDB,VastuHF,8935,0,0.00,93794.0,,,,,
107,UrbanicNewDB,closethues,6198,0,0.00,,,,,,
106,UrbanicNewDB,Urbanic,6152,0,0.00,,,,,,
105,titandb,titan,693,0,0.00,,,,,,
104,titandb,titanhelios,720,0,0.00,,,,,,
103,titandb,titansonata,722,0,0.00,,,,,,
102,titandb,titantanishq,692,0,0.00,,,,,,
101,titandb,titanfastrack,691,0,0.00,,,,,,
100,TheRBLBankDB,RBLBank,3675,0,0.00,,,,,,
97,TataCliqNewDB,tatacliqindiluxe,9434,0,0.00,,,,,,
85,reliancejiodb,ghansolipizza,632,0,0.00,,,,,,
96,TataCliqNewDB,tatacliqluxury,9433,0,0.00,,,,,,
95,TataCliqNewDB,TataCliq,9426,0,0.00,,,,,,
94,TataCliqNewDB,tatacliqpalette,9435,0,0.00,,,,,,
93,TataCliqNewDB,ajio,9431,0,0.00,,,,,,
92,TATAAIGDB,TATAAIGGIC,5116,0,0.00,,,,,,
91,tajmahalpalacedb,addressmarinadubai,4466,0,0.00,,,,,,
90,SuryodayBankDB,SuryodayBank,9457,0,0.00,,,,,,
89,StarbucksUKDB,StarbucksUK,6055,0,0.00,,,,,,
88,SkechersIndiaNewDB,SkechersPerfromance,10085,0,0.00,,,,,,
